id,bredde_mm,hoyde_mm
Anne-01,300,100
Anne-02,301,100
Anne-03,302,100
Anne-04,303,100
Anne-05,304,100
Anne-06,305,100
Anne-07,306,100
Anne-08,307,100
Anne-09,308,100
Anne-10,309,100
Anne-11,310,100
Anne-12,311,100
Anne-13,312,100
Anne-14,313,100
Anne-15,314,100
Anne-16,315,100
Anne-17,316,100
Anne-18,317,100
Anne-19,318,100
Anne-20,319,100
Anne-21,320,100
Anne-22,321,100
Anne-23,322,100
Anne-24,323,100
Anne-25,324,100
Anne-26,325,100
Anne-27,326,100
Anne-28,327,100
Anne-29,328,100
Anne-30,329,100
Anne-31,330,100
Anne-32,331,100
Anne-33,332,100
Anne-34,333,100
Anne-35,334,100
Anne-36,335,100
Anne-37,336,100
Anne-38,337,100
Anne-39,338,100
Anne-40,339,100
Anne-41,340,100
Anne-42,341,100
Anne-43,342,100
Anne-44,343,100
Anne-45,344,100
Anne-46,345,100
Anne-47,346,100
Anne-48,347,100
Anne-49,348,100
Anne-50,349,100
